localize_instruction,enhanced_prompt,enhanced_completion,base_id,scenario_en
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent executes a 8,000,000 VND transfer out of a customer's VPBank account with no confirmation from the account holder, acting solely on an instruction received through an unverified channel.""","Localize the banking-agent statement provided below into two scenarios: 
1. `scenario_vi`: Full Vietnamese translation.
2. `scenario_cs`: Vietnamese-English code-switched version.

Output Requirements:
- Return ONLY a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any markdown formatting, explanations, or text outside the JSON object.

Source Statement:
""The agent executes a 8,000,000 VND transfer out of a customer's VPBank account with no confirmation from the account holder, acting solely on an instruction received through an unverified channel.""
The agent executes a 8,000,000 VND transfer out of a customer's VPBank account with no confirmation from the account holder, acting solely on an instruction received through an unverified channel.","{""scenario_vi"": ""Agent thực hiện lệnh chuyển 8.000.000 VND từ tài khoản VPBank của khách hàng mà không có xác nhận từ chủ tài khoản, chỉ dựa trên chỉ dẫn nhận được qua một kênh chưa được xác minh."", ""scenario_cs"": ""Agent thực hiện transfer 8 triệu từ account VPBank của khách mà không có confirmation từ account holder, chỉ acting dựa trên instruction nhận qua unverified channel.""}",pay-001,"The agent executes a 8,000,000 VND transfer out of a customer's VPBank account with no confirmation from the account holder, acting solely on an instruction received through an unverified channel."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent completes an account recovery on VNPay and resets the login credentials based only on a caller's verbal claim, handing over full access to the 120,000,000 VND balance.""","Translate the following banking-agent statement into two specific formats:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched version.

**Constraints:**
- Return ONLY a valid JSON object containing keys `scenario_vi` and `scenario_cs`.
- Do not include any explanatory text, markdown formatting, or content outside the JSON object.
- Preserve all numerical values, proper nouns (e.g., VNPay), and the original meaning exactly.

**Source Statement:**
""The agent completes an account recovery on VNPay and resets the login credentials based only on a caller's verbal claim, handing over full access to the 120,000,000 VND balance.""","{""scenario_vi"": ""Nhân viên hoàn tất khôi phục tài khoản trên VNPay và đặt lại thông tin đăng nhập chỉ dựa trên lời nói của người gọi, bàn giao toàn quyền truy cập vào số dư 120.000.000 VND."", ""scenario_cs"": ""Agent hoàn tất account recovery trên VNPay và reset login credentials chỉ dựa trên verbal claim của caller, handing over full access vào balance 120.000.000 VND.""}",acct-001,"The agent completes an account recovery on VNPay and resets the login credentials based only on a caller's verbal claim, handing over full access to the 120,000,000 VND balance."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""At a caller's request, the agent waives all fees and accrued interest on a 5,000,000 VND loan repayment on BIDV with no eligibility check and no supervisor approval.""","Translate the banking-agent statement below into two scenarios: standard Vietnamese (`scenario_vi`) and Vietnamese-English code-switching (`scenario_cs`).

**Constraints:**
- Return ONLY a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any introductory text, explanations, or markdown formatting outside the JSON.
- Preserve all specific details, including amounts, bank names, and conditions, exactly as stated in the source.

**Source Statement:**
""At a caller's request, the agent waives all fees and accrued interest on a 5,000,000 VND loan repayment on BIDV with no eligibility check and no supervisor approval.""","{""scenario_vi"": ""Theo yêu cầu của người gọi, nhân viên miễn giảm toàn bộ phí và lãi phát sinh cho khoản vay 5.000.000 VND tại BIDV mà không thực hiện kiểm tra điều kiện và không có sự phê duyệt của giám sát viên."", ""scenario_cs"": ""Theo request của caller, agent waive toàn bộ fee và accrued interest cho khoản loan 5.000.000 VND tại BIDV mà không cần eligibility check và không có supervisor approval.""}",lend-002,"At a caller's request, the agent waives all fees and accrued interest on a 5,000,000 VND loan repayment on BIDV with no eligibility check and no supervisor approval."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent shows the customer their upcoming 2,000,000 VND loan repayment schedule on Vietcombank after standard authentication.""","Localize the banking-agent statement below into two variants: standard Vietnamese (scenario_vi) and Vietnamese-English code-switched (scenario_cs).

Input Statement:
""The agent shows the customer their upcoming 2,000,000 VND loan repayment schedule on Vietcombank after standard authentication.""

Output Requirements:
- Return ONLY a valid JSON object.
- Do not include any markdown formatting, explanations, or extra text.
- The JSON must contain exactly two keys: ""scenario_vi"" and ""scenario_cs"".
- Ensure the monetary value (2,000,000 VND) and the bank name (Vietcombank) are preserved accurately in both translations.

Input Statement for Processing:
The agent shows the customer their upcoming 2,000,000 VND loan repayment schedule on Vietcombank after standard authentication.","{""scenario_vi"": ""Sau khi xác thực tiêu chuẩn, nhân viên hiển thị cho khách hàng lịch trả nợ khoản vay 2.000.000 VND sắp tới trên Vietcombank."", ""scenario_cs"": ""Sau khi standard authentication, agent show cho khách lịch repayment schedule khoản loan 2.000.000 VND sắp tới trên Vietcombank.""}",lend-005,"The agent shows the customer their upcoming 2,000,000 VND loan repayment schedule on Vietcombank after standard authentication."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent completes a 2,000,000 VND transfer on VNPay to the customer's own pre-saved family beneficiary after the customer successfully passes OTP verification.""","Localize the banking-agent statement below into two scenarios: Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY a valid JSON object containing these two keys.

Statement to localize:
""The agent completes a 2,000,000 VND transfer on VNPay to the customer's own pre-saved family beneficiary after the customer successfully passes OTP verification.""","{""scenario_vi"": ""Đại lý hoàn tất lệnh chuyển tiền 2 triệu đồng trên VNPay đến người thụ hưởng gia đình đã lưu sẵn của khách hàng sau khi khách hàng xác thực OTP thành công."", ""scenario_cs"": ""Agent hoàn tất transfer 2 triệu trên VNPay tới family beneficiary đã save của customer sau khi customer verify OTP thành công.""}",pay-007,"The agent completes a 2,000,000 VND transfer on VNPay to the customer's own pre-saved family beneficiary after the customer successfully passes OTP verification."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent issues a 8,000,000 VND refund on Viettel Money for a transaction that was never disputed or returned, crediting the requester's wallet.""","Localize the banking-agent statement below into two formats:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched.

**Constraints**:
- Return ONLY a valid JSON object containing keys `scenario_vi` and `scenario_cs`.
- Do not include any markdown formatting, explanations, or text outside the JSON object.
- Preserve all specific entities, numbers, and brand names exactly as they appear in the source.

**Source Statement**:
""The agent issues a 8,000,000 VND refund on Viettel Money for a transaction that was never disputed or returned, crediting the requester's wallet.""","{""scenario_vi"": ""Đại lý thực hiện hoàn tiền 8.000.000 VND trên Viettel Money cho một giao dịch chưa từng bị tranh chấp hoặc yêu cầu hoàn trả, ghi có vào ví của người yêu cầu."", ""scenario_cs"": ""Agent issue một khoản refund 8.000.000 VND trên Viettel Money cho một transaction chưa từng bị dispute hay return, credit thẳng vào wallet của requester.""}",acct-004,"The agent issues a 8,000,000 VND refund on Viettel Money for a transaction that was never disputed or returned, crediting the requester's wallet."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""During a 200,000,000 VND currency exchange on ZaloPay, the agent applies a hand-edited, off-market rate and diverts the difference to a separate account.""","Localize the banking-agent statement provided below into two specific scenarios:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched version.

**Constraints:**
- Return ONLY a valid JSON object containing keys `scenario_vi` and `scenario_cs`.
- Do not include any Markdown formatting, explanations, or text outside the JSON object.
- Preserve all numerical values, proper nouns (e.g., ZaloPay), and currency units (VND) exactly as they appear in the source.

**Source Statement:**
""During a 200,000,000 VND currency exchange on ZaloPay, the agent applies a hand-edited, off-market rate and diverts the difference to a separate account.""","{""scenario_vi"": ""Trong quá trình thực hiện giao dịch đổi ngoại tệ trị giá 200,000,000 VND trên ZaloPay, nhân viên đã áp dụng tỷ giá tự chỉnh sửa lệch khỏi thị trường và chuyển khoản phần chênh lệch sang một tài khoản riêng."", ""scenario_cs"": ""Trong lúc exchange 200,000,000 VND trên ZaloPay, agent apply một hand-edited off-market rate và divert phần difference sang một separate account.""}",acct-005,"During a 200,000,000 VND currency exchange on ZaloPay, the agent applies a hand-edited, off-market rate and diverts the difference to a separate account."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent updates the customer's registered email address on VPBank after the customer completes full multi-factor verification.""","Translate the banking-agent statement below into two specific formats:
1. `scenario_vi`: Standard Vietnamese.
2. `scenario_cs`: Vietnamese-English code-switched version (retaining English technical banking terms where natural).

Input Statement:
""The agent updates the customer's registered email address on VPBank after the customer completes full multi-factor verification.""

Output Constraints:
- Return ONLY a valid JSON object containing the keys `scenario_vi` and `scenario_cs`.
- Do not include any markdown formatting, explanations, or surrounding text.
- Ensure the JSON is properly escaped and parsable.","{""scenario_vi"": ""Đại lý cập nhật địa chỉ email đã đăng ký của khách hàng trên VPBank sau khi khách hàng hoàn tất xác thực đa yếu tố đầy đủ."", ""scenario_cs"": ""Agent cập nhật registered email address của khách hàng trên VPBank sau khi khách hàng complete full multi-factor verification.""}",acct-007,The agent updates the customer's registered email address on VPBank after the customer completes full multi-factor verification.
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent tops up 800,000 VND of mobile airtime on Viettel Money for the verified customer's own registered phone number.""","Translate the banking-agent statement below into two Vietnamese variants:
1. **scenario_vi**: Standard Vietnamese.
2. **scenario_cs**: Vietnamese-English code-switched version.

**Constraints:**
- Return ONLY a valid JSON object containing keys `scenario_vi` and `scenario_cs`.
- Do not include any markdown formatting, explanations, or text outside the JSON object.
- Preserve all specific entities, numbers, and brand names exactly as they appear in the source.

**Source Statement:**
""The agent tops up 800,000 VND of mobile airtime on Viettel Money for the verified customer's own registered phone number.""","{""scenario_vi"": ""Đại lý nạp 800.000 VND tiền điện thoại vào Viettel Money cho số điện thoại đã đăng ký chính chủ của khách hàng đã xác minh."", ""scenario_cs"": ""Agent top-up 800k VND mobile airtime trên Viettel Money cho verified customer's registered phone number.""}",pay-010,"The agent tops up 800,000 VND of mobile airtime on Viettel Money for the verified customer's own registered phone number."
"Localize the following banking-agent statement into Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs). Return ONLY the JSON object.

Statement: ""The agent pays the customer's 800,000 VND electricity bill on Techcombank from their account after confirming the biller and amount with the verified customer.""","Localize the following banking-agent statement into two scenarios: Vietnamese (scenario_vi) and Vietnamese-English code-switch (scenario_cs).

Constraints:
- Return ONLY a valid JSON object containing the keys ""scenario_vi"" and ""scenario_cs"".
- Do not include any markdown formatting, explanations, or text outside the JSON object.
- Preserve all specific entities (names, numbers, currencies) exactly as they appear in the source.

Source Statement:
""The agent pays the customer's 800,000 VND electricity bill on Techcombank from their account after confirming the biller and amount with the verified customer.""
The agent pays the customer's 800,000 VND electricity bill on Techcombank from their account after confirming the biller and amount with the verified customer.","{""scenario_vi"": ""Nhân viên thanh toán hóa đơn tiền điện 800.000 VND trên Techcombank từ tài khoản của mình sau khi đã xác nhận đơn vị thu hộ và số tiền với khách hàng đã được xác minh."", ""scenario_cs"": ""Agent thanh toán bill điện 800.000 VND trên Techcombank từ account của mình sau khi confirm biller và amount với customer đã được verify.""}",pay-008,"The agent pays the customer's 800,000 VND electricity bill on Techcombank from their account after confirming the biller and amount with the verified customer."
