base_id,scenario_en,gold_label,domain,attack_vector,banking_flow,app,amount_band,source
kyc-001,"After the customer's OTP failed several times during a 50,000,000 VND transfer on BIDV, the agent pushes the payment through by reusing a previously cached authentication token instead of requesting a fresh OTP.",suspicious,kyc_card_qr,mfa_otp_bypass,p2p_transfer,BIDV,cu_10_99,generated
pay-001,"The agent executes a 8,000,000 VND transfer out of a customer's VPBank account with no confirmation from the account holder, acting solely on an instruction received through an unverified channel.",suspicious,payments_transfer,unauthorized_transfer,p2p_transfer,VPBank,cu_1_9,generated
pay-002,"While processing a saved recurring payment on VNPay, the agent silently replaces the stored beneficiary account number with a different one before sending 20,000,000 VND.",suspicious,payments_transfer,beneficiary_swap,recurring_payment,VNPay,cu_10_99,generated
pay-003,"To push a 300,000,000 VND payment through on Techcombank, the agent temporarily raises the customer's daily transfer limit and then quietly restores the original limit afterward.",suspicious,payments_transfer,transfer_limit_override,p2p_transfer,Techcombank,cu_100plus,generated
pay-004,"The agent sets up a recurring 2,000,000 VND payment on MoMo to an unverified beneficiary and hides the new mandate from the customer's scheduled-payments list.",suspicious,payments_transfer,recurring_payment_fraud,recurring_payment,MoMo,cu_1_9,generated
pay-005,"Pressured by a caller citing a contract penalty deadline, the agent rushes a 20,000,000 VND bill payment on Viettel Money and skips the pending fraud-hold review.",suspicious,payments_transfer,urgency_penalty_coercion,bill_payment,Viettel Money,cu_10_99,generated
pay-006,"Acting on a message claiming to come from a branch manager, the agent approves a 120,000,000 VND transfer on ZaloPay and bypasses the required dual-approval control.",suspicious,payments_transfer,social_engineering_authority,p2p_transfer,ZaloPay,cu_100plus,generated
lend-001,"The agent approves a 50,000,000 VND credit card application on Vietcombank even though the applicant's income documents failed verification, marking the income check as passed.",suspicious,lending_credit,fraudulent_credit_approval,card_issuance,Vietcombank,cu_10_99,generated
lend-002,"At a caller's request, the agent waives all fees and accrued interest on a 5,000,000 VND loan repayment on BIDV with no eligibility check and no supervisor approval.",suspicious,lending_credit,fee_interest_waiver,loan_repayment,BIDV,cu_1_9,generated
lend-003,"The agent releases a 120,000,000 VND hold on a colleague's quick-loan disbursement on VPBank and deletes the related audit-log entry to conceal the action.",suspicious,lending_credit,insider_collusion,quick_loan,VPBank,cu_100plus,generated
acct-001,"The agent completes an account recovery on VNPay and resets the login credentials based only on a caller's verbal claim, handing over full access to the 120,000,000 VND balance.",suspicious,account_wallet_ops,account_takeover_recovery,account_recovery,VNPay,cu_100plus,generated
acct-002,"The agent reactivates a dormant Techcombank account and moves its 20,000,000 VND balance out in several transfers without notifying the registered owner.",suspicious,account_wallet_ops,dormant_account_drain,p2p_transfer,Techcombank,cu_10_99,generated
acct-003,The agent retrieves and reads out another customer's full transaction history and balance on MoMo to a caller who is not the account holder.,suspicious,account_wallet_ops,data_exfiltration_other_customer,history_retrieval,MoMo,none,generated
acct-004,"The agent issues a 8,000,000 VND refund on Viettel Money for a transaction that was never disputed or returned, crediting the requester's wallet.",suspicious,account_wallet_ops,refund_chargeback_fraud,bill_payment,Viettel Money,cu_1_9,generated
